,geo_adj_score,cell_type
219,1.04946579742209,Alpha
220,0.938856748925451,Alpha
221,0.927616682668795,Alpha
222,0.970460986749079,Beta
223,0.898970102840356,Ductal
224,1.23249338260055,Beta
225,0.903223509371076,Acinar
226,0.887896078346115,Acinar
227,1.00764156613893,Alpha
228,0.927807526676084,Alpha
229,1.05494781423162,Alpha
230,1.31698145445494,Acinar
231,1.09997585653611,Alpha
232,1.25730115161248,Alpha
233,0.888676941249515,Alpha
234,0.961350285854386,Alpha
235,1.16032202109291,Alpha
236,0.849544646056624,Acinar
237,1.19021943464591,Alpha
238,0.841018595770742,Ductal
239,0.912842030430483,Alpha
240,0.847135853038077,Acinar
241,0.962414103455931,Alpha
242,0.981278516470092,Alpha
243,1.32823807573303,Acinar
244,0.855482338105574,Acinar
245,1.04009851598001,Alpha
246,0.844300377729115,Alpha
247,1.22772757839583,Alpha
248,0.827142899131323,Acinar
249,1.19206289419152,Beta
250,0.907076319019698,Alpha
251,0.809171719338638,Ductal
252,1.24679346317891,Alpha
253,0.850815786690577,Alpha
254,0.963772056688698,Alpha
255,0.861832739595584,Beta
256,0.989522689857743,Beta
257,0.960842838658406,Alpha
258,1.13871099101333,Alpha
259,0.777902397239216,Acinar
260,0.814652501177942,Alpha
261,1.20819411165388,Alpha
262,1.01479976499189,Beta
263,1.16162044234893,Alpha
264,0.763694077686381,Alpha
265,1.08487781057158,Alpha
266,0.901983567265514,Alpha
267,1.31114987897955,Stellate
268,0.993654044146348,Beta
269,0.742468549350183,Acinar
270,0.78859392352636,Alpha
271,0.862571945692091,Alpha
272,0.739554065586258,Alpha
273,0.731141041622864,Acinar
274,1.02377158664134,Alpha
275,1.04653380083475,Beta
276,0.705309261533019,Acinar
277,0.937751358936558,Alpha
278,0.691199292216987,Acinar
279,0.68655589583745,Acinar
280,1.03812760675682,Alpha
281,0.692871403523277,Acinar
282,0.645479086962546,Acinar
283,1.2442311140787,Beta
284,0.787961147506575,Alpha
285,0.887961466117749,Alpha
286,0.82010782803056,Alpha
287,0.728056815387138,Acinar
288,1.04026710596974,Stellate
289,0.70591576916824,Alpha
290,0.70779982464024,Alpha
291,0.769614284925815,Alpha
292,0.819507324934762,Alpha
293,0.884807095061025,Alpha
294,0.641100962615083,Ductal
295,0.734634460030504,Alpha
296,0.680828732040458,Ductal
297,0.648075886525975,Alpha
298,0.964224939698616,Alpha
299,0.632818740859124,Alpha
300,0.911146662104932,Alpha
301,1.16656635825951,Alpha
302,0.615426927378124,Acinar
303,0.617423166846554,Alpha
304,1.21106242487914,Beta
305,1.27124886336263,Alpha
306,1.10331733623814,Alpha
307,0.59244576178407,Alpha
308,0.678696604711316,Alpha
309,0.976885280399926,Alpha
310,0.588322642804261,Acinar
311,1.14747896609671,Alpha
312,0.8108968253197,Alpha
313,0.922139462858718,Beta
314,0.601705497347619,Acinar
315,0.628864599833257,Acinar
316,1.04767307840155,Alpha
317,0.77569950622723,Ductal
318,0.850682670709213,Alpha
319,0.754433676226936,Alpha
320,0.639619728365137,Acinar
321,1.16534825011265,Alpha
322,1.24866158085276,Beta
323,0.552468615035798,Stellate
324,0.608001837977213,Alpha
325,0.54841818082181,Alpha
326,0.934507924297407,Alpha
327,0.543890044679595,Alpha
328,0.669555903765686,Alpha
329,0.634257740129667,Alpha
330,1.06383164186288,Alpha
331,0.656961499898446,Stellate
332,0.870910493719786,Beta
333,1.11798230369934,Beta
334,0.550947058450338,Alpha
335,0.802998958574664,Alpha
336,1.20392969581634,Beta
337,0.532811535178341,Alpha
338,0.733696134633722,Ductal
339,0.560996767825453,Acinar
340,0.571257542888927,Alpha
341,0.589597655465906,Acinar
342,0.519637224455528,Alpha
343,0.821236347528984,Ductal
344,0.878635853662217,Acinar
345,0.601040605426594,Alpha
346,0.771063016735208,Ductal
347,0.626813257004108,Alpha
348,0.872608337547068,Alpha
349,1.0089535743416,Alpha
350,0.655389344036027,Alpha
351,0.550242897763844,Alpha
352,0.760298463528928,Alpha
353,0.911119638173804,Alpha
354,0.586690514213028,Alpha
355,0.910714859197181,Acinar
356,1.20039612246176,Alpha
357,0.972859387353546,Alpha
358,0.479212296203265,Beta
359,0.604514634299692,Alpha
360,0.68226876844582,Beta
361,0.501575036282917,Alpha
362,0.528867699801992,Alpha
363,0.650440338075153,Alpha
364,0.458252949445503,Alpha
365,0.46210712641047,Alpha
366,0.463535529692694,Beta
367,0.627075369296018,Beta
368,0.762747876498775,Alpha
369,0.861016843292452,Beta
370,0.4742897509922,Alpha
371,0.486325376426243,Alpha
372,0.535774563046542,Alpha
373,1.14646761484187,Alpha
374,0.512349017527683,Alpha
375,0.467946375950948,Alpha
376,0.447725292562498,Alpha
377,0.582814057082764,Beta
378,0.684015068745851,Alpha
379,0.537551748213042,Alpha
380,0.47378971121108,Beta
381,1.04136940392884,Alpha
382,0.923014673885937,Acinar
383,0.717653679963905,Alpha
384,0.583818264510621,Alpha
385,0.55962552510527,Alpha
386,0.624139339802599,Beta
387,0.963166845060967,Alpha
