,cell_number,concave_regularity,brittleness,sample
AL189T_121,4.30406509320417,0.247934237642045,0.598269437144926,AL189T
AL189T_122,4.66343909411207,0.506938669421113,0.905477799947539,AL189T
AL189T_123,4.64439089914137,0.0124639782890535,0.680601177481266,AL189T
AL189T_124,4.12713438504509,0.174453721607614,0.8044298115704,AL189T
AL189T_125,4.55387689160054,0.25431028540694,0.858146655941739,AL189T
AL189T_126,4.11087386417331,0.217553878656845,0.70820724086422,AL189T
AL189T_127,4.56434819146784,0.232937706891164,0.778181062067958,AL189T
AL189T_128,4.52178857704904,0.28345256014509,0.856181668543284,AL189T
AL189T_129,4.93447393313069,0.266912107181007,0.719804890311103,AL189T
AL189T_130,4.23410650459726,0.20990752111946,0.781529410809634,AL189T
AL189T_131,3.78418963391826,0.376386567747414,0.883582214118623,AL189T
AL189T_132,4.39444915467244,0.405083926229306,0.885042410636175,AL189T
AL189T_133,3.52636052461616,0.0771315233098111,0.696489346630392,AL189T
AL189T_134,4.35670882668959,0.249163966404314,0.734217763414771,AL189T
AL189T_135,4.14313472639153,0.156002427402084,0.642378235942429,AL189T
AL189T_136,4.43081679884331,0.240587875540311,0.686966436348468,AL189T
AL189T_137,4.27666611901606,0.0780540110987715,0.714016071570171,AL189T
AL189T_138,3.85014760171006,0.0686950266259556,0.76229069631734,AL189T
AL189T_139,4.33073334028633,0.300055473042691,0.792088414301257,AL189T
AL189T_140,4.36944785246702,0.437263817561183,0.857714935012466,AL189T
AL189T_141,3.80666248977032,0.00990228734404881,0.733667496556823,AL189T
AL189T_142,4.33073334028633,0.484269879481654,0.831325781304058,AL189T
AL189T_143,4.14313472639153,0.165155087543913,0.775843964697389,AL189T
AL189T_144,3.71357206670431,0.011589736709581,0.507703677675558,AL189T
AL189T_145,4.23410650459726,0.319277993549331,0.855015594141136,AL189T
AL189T_146,3.68887945411394,0.207314401703517,0.816170556878188,AL189T
AL189T_147,4.27666611901606,0.59628052256204,0.909475572223112,AL189T
AL189T_148,4.38202663467388,0.42817950406719,0.844608021749646,AL189T
AL189T_149,4.00733318523247,0.281830424458939,0.748633008098138,AL189T
