,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,color
ARMCX2,ARMCX2,2503.97986224004,0.074289650043966,0.119017584261083,0.624190538777872,0.532502459606894,0.999982363306687,Not Significant,grey
ARMCX3,ARMCX3,5378.56490238136,0.0104367174967712,0.0965443311250663,0.108102851562057,0.913914106192887,0.999982363306687,Not Significant,grey
ARMCX4,ARMCX4,2593.16700029671,0.112570631375763,0.116148646448199,0.969194517699076,0.332448145898782,0.999982363306687,Not Significant,grey
ARMCX5,ARMCX5,604.682173508382,0.0798303083859703,0.200878053990613,0.397406818714506,0.69106748803748,0.999982363306687,Not Significant,grey
ARMCX5-GPRASP2,ARMCX5-GPRASP2,125.398623032842,0.0407797637391759,0.418361368152355,0.0974749746117215,0.922349206944463,0.999982363306687,Not Significant,grey
ARMCX6,ARMCX6,506.906378534324,0.11147744411272,0.214996948589892,0.518507099025686,0.604104508321404,0.999982363306687,Not Significant,grey
ARMH1,ARMH1,135.814105493671,0.151130627255644,0.398866061049682,0.378900693776549,0.704761608991231,0.999982363306687,Not Significant,grey
ARMH3,ARMH3,1332.13941381725,0.0936113126091483,0.144937043053341,0.645875689451571,0.518359864787476,0.999982363306687,Not Significant,grey
ARMH4,ARMH4,387.601090590037,0.0134828303853433,0.244447463587067,0.0551563521563847,0.956013901902033,0.999982363306687,Not Significant,grey
ARMT1,ARMT1,1107.9222863807,0.183492860593171,0.164458072450063,1.11574249813057,0.264532373669049,0.999982363306687,Not Significant,grey
ARNT,ARNT,2214.85571610711,0.0913139765574551,0.12587527318566,0.725432201626856,0.468186923919193,0.999982363306687,Not Significant,grey
ARNT2,ARNT2,2466.76938059449,0.0484209755140147,0.11773649546683,0.411265643010892,0.680877759342891,0.999982363306687,Not Significant,grey
ARNTL,ARNTL,782.77771878284,0.217099324655438,0.1797214736883,1.20797654392688,0.227056284836102,0.999982363306687,Not Significant,grey
ARNTL2,ARNTL2,357.925747625048,-0.369843435387326,0.251412592534063,-1.47106169845974,0.141274432012134,0.999982363306687,Not Significant,grey
